type,original_scores,original_scores_std,scores,scores_std,dcc_pearson,dcc_spearman,dcc_kendall,dcc_mi,dcc_js,dcc_wd,dcc_xi,dcc_dcor,perturbation_type,dataset,ptb_ratio,corr_max_pearson,corr_max_spearman,corr_max_kendall,corr_max_mi,corr_max_js,corr_max_wd,corr_max_xi,corr_max_dcor,corr_cnt_good_pearson,corr_cnt_good_spearman,corr_cnt_good_kendall,corr_cnt_good_mi,corr_cnt_good_js,corr_cnt_good_wd,corr_cnt_good_xi,corr_cnt_good_dcor,scores_ratio,scores_std_ratio
classification,0.7774814814814814,0.02958676375708675,0.7655316129032258,0.028239986897781642,1.0,1.0,1.0,1.0,1.0,1.0,0.43956043956043955,1.0,Deletion,Crystal Structure,0.08,0.3206607396512411,0.3480084475019805,0.28061543060843097,0.10635474473140673,0.5926232782340551,0.5525928029173237,0.10113331687430527,0.33483534567040935,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.9846300280291109,0.9544804267758916
classification,0.7774814814814814,0.02958676375708675,0.7448729333963156,0.026236763394181357,0.4945054945054945,0.5934065934065934,0.6593406593406593,0.8021978021978022,0.7912087912087912,0.7582417582417582,0.6593406593406593,0.6153846153846154,AdditionLinear,Crystal Structure,0.08,0.32720540174269874,0.33871445511013687,0.2699009276633218,0.08383160355107473,0.5602110628455386,0.48983964452905543,0.48661581056513836,0.32090843389329016,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9580587462700324,0.8867736806090194
classification,0.7774814814814814,0.02958676375708675,0.7396343882853095,0.02526048075312103,0.45054945054945056,0.5824175824175825,0.6703296703296703,0.7802197802197802,0.5604395604395604,0.8571428571428571,0.6593406593406593,0.5494505494505495,AdditionRand,Crystal Structure,0.08,0.3510365756824199,0.3414194254940522,0.2745812662728089,0.09248256698572194,0.5405778664297776,0.4874064585057438,0.44072120017745153,0.3313769855036313,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9513209071886126,0.8537764035470263
classification,0.7774814814814814,0.02958676375708675,0.7404444444444446,0.024330748613058124,0.45054945054945056,0.5714285714285714,0.6813186813186813,0.7912087912087912,0.6923076923076923,0.8131868131868132,0.6043956043956044,0.6263736263736264,ReplacementLinear,Crystal Structure,0.08,0.35523868822145277,0.35373026031122123,0.2852386927665371,0.08707620422867468,0.5480208545629238,0.48862649281977827,0.33687835618323725,0.33708299181561774,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.952362804878049,0.8223524821037691
classification,0.7774814814814814,0.02958676375708675,0.7148148148148148,0.028830551342890354,0.38461538461538464,0.5934065934065934,0.6593406593406593,0.7802197802197802,0.42857142857142855,0.8021978021978022,0.45054945054945056,0.5274725274725275,ReplacementRand,Crystal Structure,0.08,0.30714852665352954,0.31699704072929025,0.2548059538472596,0.09563732476580594,0.5273014409889448,0.4809056962881254,0.45876428454849927,0.30559131281926066,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.9193978658536586,0.9744408540114408
classification,0.7883720930232558,0.05068399025263418,0.8122948717948717,0.05031464788691202,1.0,1.0,1.0,1.0,1.0,1.0,0.5777777777777777,1.0,Deletion,Glass,0.08,0.7201958928298027,0.5900419145538879,0.4539300025497496,0.3005143800688696,0.4846089327748082,0.569789253243478,0.400406392471216,0.7096110250679886,0.375,0.375,0.0,0.0,0.0,0.375,0.0,0.5,1.0303445276454124,0.9927128396189571
classification,0.7883720930232558,0.05068399025263418,0.743663274745606,0.056883730307143596,0.24444444444444444,0.4222222222222222,0.5777777777777777,0.8,0.26666666666666666,0.6,0.37777777777777777,0.5111111111111111,AdditionLinear,Glass,0.08,0.6679450762234314,0.5555679321420082,0.4225645894203813,0.2439158690162164,0.4339434376384798,0.5423344315459031,0.7408148992901713,0.662761942340215,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.9432896995298247,1.122321467264255
classification,0.7883720930232558,0.05068399025263418,0.7472247918593895,0.04925284287782927,0.17777777777777778,0.4666666666666667,0.4888888888888889,0.7555555555555555,0.3333333333333333,0.5111111111111111,0.5111111111111111,0.5111111111111111,AdditionRand,Glass,0.08,0.6728077170056621,0.5677242154385,0.44093397074922686,0.25338384285428794,0.4303016188739817,0.5198608868256549,0.7905130879991216,0.6652055729890866,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.94780725811073,0.9717633247171077
classification,0.7883720930232558,0.05068399025263418,0.6982281284606866,0.05308950874494006,0.17777777777777778,0.24444444444444444,0.37777777777777777,0.7111111111111111,0.2222222222222222,0.5111111111111111,0.5777777777777777,0.3333333333333333,ReplacementLinear,Glass,0.08,0.6917075453033373,0.6077436363199707,0.47278583026905596,0.2816208787421082,0.43414202746695874,0.5533968987663498,0.7629400902797915,0.6883008991750825,0.125,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.8856580980474785,1.0474611110987035
classification,0.7883720930232558,0.05068399025263418,0.7495238095238095,0.0526434781802156,0.2222222222222222,0.35555555555555557,0.5111111111111111,0.7333333333333333,0.17777777777777778,0.5333333333333333,0.5111111111111111,0.4444444444444444,ReplacementRand,Glass,0.08,0.7036651264990424,0.587310690292879,0.4550400719344372,0.2684907806838499,0.4419890848712808,0.5682269368639835,0.576804288541602,0.6880913390387031,0.125,0.125,0.0,0.0,0.0,0.25,0.25,0.5,0.9507234162101418,1.0386608851792125
